id	SPE_0xA_AR01	SPE_0xA_AR02	SPE_0xA_AR03	SPE_0xA_AR04	SPE_0xA_AR05	SPE_0xA_AR06	SPE_0xA_AR07	SPE_0xA_AR08	SPE_0xA_AR09	SPE_0xA_AR10
S0_M_T1093	128	76	53	59	73	27	29	33	21	9
S0_M_T1094	112	91	68	77	91	41	27	56	47	22
S0_M_T1095	41	39	28	38	48	21	15	32	24	4
S0_M_T1096	202	149	149	125	175	99	111	169	188	77
S0_M_T1097	47	13	12	14	22	3	3	18	14	7
S0_M_T1098	42	33	43	28	45	20	32	40	41	10
S0_M_T1099	19	8	16	23	22	5	9	13	14	12
S0_M_T11	16	14	8	11	14	10	9	8	7	9
S0_M_T110	0	0	0	0	0	0	0	0	0	0
S0_M_T1100	64	58	48	50	50	20	11	9	7	7
S0_M_T1101	19	19	14	12	12	7	6	5	4	2
S0_M_T1102	8	5	4	2	3	4	5	1	0	2
S0_M_T1103	72	44	49	53	62	27	18	56	44	5
S0_M_T1104	39	15	22	26	27	7	5	16	13	4
S0_M_T1105	257	83	89	66	82	9	3	27	22	9
S0_M_T1106	0	0	0	0	0	0	0	0	0	0
S0_M_T1107	358	334	298	309	342	258	307	277	310	111
S0_M_T1108	29	19	19	23	19	17	13	8	11	1
S0_M_T1109	0	0	2	0	1	0	0	0	0	0
S0_M_T111	14	11	12	6	7	0	0	3	1	1
S0_M_T1110	161	93	56	82	80	76	93	93	113	54
S0_M_T1111	1	2	0	5	1	0	0	0	0	0
S0_M_T1112	41	30	23	33	62	15	19	51	44	14
S0_M_T1113	117	66	69	72	86	11	6	13	12	8
S0_M_T1114	38	19	22	15	25	23	19	27	21	19
S0_M_T1115	67	33	28	22	20	20	15	12	10	6
S0_M_T1116	202	122	100	115	131	84	80	95	139	65
S0_M_T1117	165	148	134	127	102	54	62	33	37	14
S0_M_T1118	1	0	0	0	0	1	0	0	0	0
S0_M_T1119	85	59	42	47	50	37	27	38	27	14
S0_M_T112	19	12	6	6	14	1	0	4	7	2
S0_M_T1120	23	27	14	5	7	4	9	7	6	5
S0_M_T1121	40	26	30	26	21	16	19	14	14	4
S0_M_T1122	0	0	0	0	0	0	0	0	0	0
S0_M_T1123	26	19	16	22	17	5	3	4	0	8
S0_M_T1124	0	1	0	0	1	1	0	1	0	0
S0_M_T1125	195	215	175	222	236	104	69	41	43	18
S0_M_T1126	168	127	95	74	75	70	63	63	74	19
S0_M_T1127	3	7	1	5	5	2	3	1	1	1
S0_M_T1128	39	38	24	17	18	10	10	6	12	6
S0_M_T1129	38	28	26	25	28	9	7	13	5	6
S0_M_T113	96	48	27	31	30	6	8	13	8	9
S0_M_T1130	69	48	41	39	41	38	43	29	46	24
S0_M_T1131	24	15	14	16	16	13	7	7	12	2
S0_M_T1132	29	21	15	21	11	20	20	26	22	14
S0_M_T1133	56	32	36	33	25	12	13	18	13	7
S0_M_T1134	1	1	1	0	0	0	0	0	0	0
S0_M_T1135	236	115	92	92	101	32	47	84	122	42
S0_M_T1136	0	0	1	2	0	0	0	0	0	0
S0_M_T1137	12	12	13	13	12	5	3	8	9	2
S0_M_T1138	23	17	20	13	7	6	2	4	1	3
S0_M_T1139	31	12	5	12	6	7	3	1	5	5
S0_M_T114	7	1	2	0	2	0	1	0	1	1
S0_M_T1140	33	19	18	29	22	8	5	9	5	1
S0_M_T1141	3	4	0	3	3	1	0	0	2	0
S0_M_T1142	18	11	11	12	10	3	7	8	7	5
S0_M_T1143	189	134	77	80	85	56	78	69	90	39
S0_M_T1144	16	10	8	12	12	9	3	1	2	1
S0_M_T1145	85	109	81	82	90	57	56	27	32	9
S0_M_T1146	35	28	19	22	15	19	18	9	11	4
S0_M_T1147	5	6	12	10	11	4	5	6	8	1
S0_M_T1148	59	45	36	22	44	15	4	5	8	4
S0_M_T1149	108	78	106	102	141	45	45	134	180	70
S0_M_T115	0	0	0	0	2	0	0	0	2	0
S0_M_T1150	77	68	59	56	55	46	30	20	13	5
S0_M_T1151	86	34	71	41	44	4	0	2	19	3
S0_M_T1152	50	16	36	36	59	4	4	80	139	40
S0_M_T1153	54	32	49	35	67	0	4	28	38	10
S0_M_T1154	32	35	31	27	34	15	6	9	5	5
S0_M_T1155	0	1	0	1	0	0	0	0	0	1
S0_M_T1156	19	14	21	15	14	5	4	4	5	3
S0_M_T1157	0	0	0	0	1	0	1	1	0	0
S0_M_T1158	157	148	97	76	72	36	31	11	12	8
S0_M_T1159	24	8	12	13	20	6	3	23	28	16
S0_M_T116	35	30	16	13	7	3	0	2	5	4
S0_M_T1160	38	30	18	23	36	13	5	11	7	1
S0_M_T1161	0	1	0	0	0	0	0	0	0	1
S0_M_T1162	129	163	124	108	137	140	143	166	207	127
S0_M_T1163	4	2	2	7	3	5	8	3	3	2
S0_M_T1164	0	2	0	1	1	1	1	0	2	0
S0_M_T1165	20	24	15	26	21	29	36	26	14	8
S0_M_T1166	5	4	0	2	2	5	2	2	4	1
S0_M_T1167	12	13	5	7	15	15	10	13	10	11
S0_M_T1168	1	3	2	1	6	5	5	2	8	0
S0_M_T1169	9	4	6	3	7	6	10	7	12	6
S0_M_T117	249	239	124	103	88	42	53	49	52	25
S0_M_T1170	5	5	2	5	4	2	13	9	10	5
S0_M_T1171	32	27	13	18	9	17	14	12	13	8
S0_M_T1172	2	0	6	2	4	3	2	1	2	1
S0_M_T1173	69	79	29	50	50	53	53	53	53	27
S0_M_T1174	7	5	1	4	6	7	7	3	2	3
S0_M_T1175	20	17	16	6	12	15	16	20	19	9
S0_M_T1176	35	73	25	37	29	34	23	23	37	11
S0_M_T1177	3	0	1	0	0	1	0	1	2	0
S0_M_T1178	0	0	0	0	0	0	0	0	0	0
