id	SPE_0xA_AR01	SPE_0xA_AR02	SPE_0xA_AR03	SPE_0xA_AR04	SPE_0xA_AR05	SPE_0xA_AR06	SPE_0xA_AR07	SPE_0xA_AR08	SPE_0xA_AR09	SPE_0xA_AR10
S1_L_T21594	9	5	4	3	1	1	0	1	2	0
S1_L_T21595	16	24	7	12	14	6	1	2	1	4
S1_L_T21596	53	47	23	15	18	6	5	5	8	2
S1_L_T21597	160	136	134	141	177	92	102	164	245	139
S1_L_T21598	27	42	18	29	15	9	11	10	5	1
S1_L_T21599	6	6	0	4	1	4	4	0	0	1
S1_L_T216	2	0	0	1	1	0	0	1	0	0
S1_L_T2160	0	0	0	0	0	0	0	0	0	0
S1_L_T21600	10	4	3	3	6	0	2	2	1	0
S1_L_T21601	73	58	42	37	44	49	48	59	67	33
S1_L_T21602	5	3	2	0	2	2	1	1	0	1
S1_L_T21603	27	23	17	14	14	5	7	7	6	3
S1_L_T21604	145	135	127	140	89	13	8	7	11	7
S1_L_T21605	93	91	58	69	67	57	71	44	34	7
S1_L_T21606	3	2	0	2	2	0	1	0	1	0
S1_L_T21607	19	11	2	11	13	10	11	14	20	3
S1_L_T21608	29	49	15	33	26	23	19	20	30	9
S1_L_T21609	28	20	15	10	22	17	15	12	17	10
S1_L_T2161	7	5	5	1	5	3	0	2	6	1
S1_L_T21610	26	21	26	23	32	15	26	27	47	23
S1_L_T21611	56	26	18	17	25	27	18	21	33	7
S1_L_T21612	2	3	1	2	0	0	0	0	0	0
S1_L_T21613	33	28	39	30	54	19	13	28	27	8
S1_L_T21614	104	71	46	31	35	20	15	23	17	10
S1_L_T21615	4	3	4	3	1	2	1	0	1	2
S1_L_T21616	10	11	8	6	11	3	3	4	10	11
S1_L_T21617	8	8	3	3	4	0	0	10	18	8
S1_L_T21618	11	9	9	5	6	10	4	2	15	6
S1_L_T21619	2	1	1	1	1	0	3	3	0	0
S1_L_T2162	4	4	5	2	2	0	0	4	4	3
S1_L_T21620	29	13	16	11	8	3	1	8	14	4
S1_L_T21621	50	48	12	17	16	16	13	4	15	7
S1_L_T21622	94	70	50	59	75	50	47	64	83	31
S1_L_T21623	43	50	40	38	39	26	24	26	15	11
S1_L_T21624	28	13	9	10	11	2	6	2	5	5
S1_L_T21625	2	4	1	3	1	1	2	4	5	0
S1_L_T21626	30	21	18	13	21	3	2	0	2	0
S1_L_T21627	82	107	53	52	42	21	19	7	15	5
S1_L_T21628	42	32	24	14	20	10	9	4	5	3
S1_L_T21629	28	39	20	29	30	24	16	7	12	3
S1_L_T2163	28	8	19	28	19	11	6	8	10	4
S1_L_T21630	280	178	122	124	125	118	118	95	102	20
S1_L_T21631	21	18	23	11	20	16	9	5	3	1
S1_L_T21632	13	12	13	20	6	17	15	12	10	8
S1_L_T21633	26	22	13	8	6	11	3	7	4	1
S1_L_T21634	81	53	32	30	36	27	19	12	10	5
S1_L_T21635	25	36	19	22	11	11	10	7	7	3
S1_L_T21636	34	35	18	15	7	10	8	1	4	3
S1_L_T21637	10	10	10	14	5	8	4	1	0	1
S1_L_T21638	19	29	12	19	16	7	6	3	2	3
S1_L_T21639	26	18	11	21	7	9	10	5	11	4
S1_L_T2164	87	79	66	59	58	31	40	53	41	26
S1_L_T21640	85	45	31	43	24	25	20	9	14	3
S1_L_T21641	66	61	37	45	48	28	31	21	21	11
S1_L_T21642	23	12	18	14	19	2	5	8	10	2
S1_L_T21643	31	26	26	17	15	9	8	3	12	4
S1_L_T21644	87	64	40	32	45	27	19	17	26	14
S1_L_T21645	183	129	116	121	144	37	50	99	117	68
S1_L_T21646	72	66	48	75	81	82	59	66	59	28
S1_L_T21647	55	88	48	50	54	42	37	27	36	21
S1_L_T21648	5	5	1	4	7	2	2	3	3	1
S1_L_T21649	105	97	49	32	37	14	12	11	7	4
S1_L_T2165	10	10	14	10	9	3	2	1	5	2
S1_L_T21650	122	100	87	88	103	37	63	55	75	13
S1_L_T21651	10	9	11	6	9	6	12	16	11	5
S1_L_T21652	13	14	12	6	4	4	1	4	2	4
S1_L_T21653	0	0	0	0	0	0	0	0	0	0
S1_L_T21654	24	18	7	7	13	8	10	7	11	2
S1_L_T21655	23	23	17	11	5	8	5	8	5	3
S1_L_T21656	1	1	1	0	1	0	2	0	0	0
S1_L_T21657	57	48	21	31	30	17	21	23	29	13
S1_L_T21658	23	22	16	9	11	9	2	3	3	0
S1_L_T21659	0	0	1	0	0	0	0	0	0	0
S1_L_T2166	27	19	33	24	24	15	15	11	12	3
S1_L_T21660	155	106	63	45	36	28	20	17	22	7
S1_L_T21661	77	49	51	44	49	31	38	41	56	15
S1_L_T21662	15	16	8	9	6	10	9	6	3	1
S1_L_T21663	59	39	21	12	27	14	12	10	12	5
S1_L_T21664	1	1	0	0	1	0	0	1	0	0
S1_L_T21665	2	2	5	1	0	0	1	0	1	0
S1_L_T21666	24	21	9	13	11	11	17	6	16	5
S1_L_T21667	2	1	2	2	4	0	2	0	3	0
S1_L_T21668	55	53	29	28	33	22	9	5	6	4
S1_L_T21669	2	3	5	6	10	5	3	4	3	0
S1_L_T2167	7	5	3	3	7	2	3	2	1	1
S1_L_T21670	15	11	6	7	6	6	1	0	1	0
S1_L_T21671	30	21	17	14	9	2	6	3	3	2
S1_L_T21672	42	28	24	29	28	14	12	10	5	7
S1_L_T21673	14	15	12	17	12	6	3	6	2	0
S1_L_T21674	12	12	7	10	16	10	16	14	14	3
S1_L_T21675	122	148	90	98	71	16	13	10	4	2
S1_L_T21676	14	5	14	10	11	3	6	15	12	5
S1_L_T21677	0	0	0	0	0	0	0	0	0	0
S1_L_T21678	183	139	42	46	48	22	17	10	13	11
S1_L_T21679	40	47	21	38	27	12	7	5	5	1
S1_L_T2168	8	8	8	6	3	5	1	2	1	0
S1_L_T21680	23	17	12	15	8	2	5	1	2	3
S1_L_T21681	7	6	15	7	9	8	3	1	4	0
S1_L_T21682	49	37	31	30	52	16	6	9	1	3
S1_L_T21683	2	1	0	0	0	0	0	0	0	0
S1_L_T21684	8	6	11	8	5	1	0	3	2	0
S1_L_T21685	33	28	15	17	3	9	2	5	4	0
S1_L_T21686	304	271	138	142	155	106	110	100	95	36
S1_L_T21687	42	50	21	29	19	12	18	19	13	9
S1_L_T21688	16	11	12	22	17	11	15	6	18	6
S1_L_T21689	78	69	25	33	39	28	15	16	20	7
S1_L_T2169	131	125	124	115	132	69	75	149	220	95
S1_L_T21690	47	32	19	27	39	13	19	32	66	25
S1_L_T21691	27	32	20	18	20	14	15	26	31	9
S1_L_T21692	74	66	30	46	64	41	47	35	41	17
S1_L_T21693	68	51	43	38	45	25	32	36	41	16
S1_L_T21694	7	3	2	3	3	0	1	1	0	1
S1_L_T21695	101	64	60	54	69	33	24	16	8	1
S1_L_T21696	15	12	12	20	8	7	14	6	9	3
S1_L_T21697	28	27	21	30	15	9	24	18	21	14
S1_L_T21698	1	6	5	2	5	4	6	1	0	0
S1_L_T21699	25	16	9	7	9	5	2	2	3	2
S1_L_T217	30	21	30	28	20	7	5	13	15	2
S1_L_T2170	8	3	2	2	1	1	3	1	1	0
S1_L_T21700	71	82	79	87	76	55	58	54	64	24
S1_L_T21701	2	0	2	0	0	0	0	0	0	2
S1_L_T21702	34	38	21	23	16	20	21	8	17	5
S1_L_T21703	41	35	18	17	14	5	5	5	4	0
S1_L_T21704	33	15	15	12	22	7	16	23	21	4
S1_L_T21705	71	49	39	29	35	23	19	25	24	4
S1_L_T21706	55	45	58	54	62	28	13	42	40	8
S1_L_T21707	93	77	68	90	130	29	34	120	127	29
S1_L_T21708	9	23	9	7	9	2	5	6	5	3
S1_L_T21709	4	6	4	10	5	1	1	3	4	0
S1_L_T2171	46	41	25	27	36	14	10	9	8	10
S1_L_T21710	173	103	47	43	60	38	17	11	14	10
S1_L_T21711	27	7	7	11	16	7	10	28	23	18
S1_L_T21712	49	38	20	23	28	21	13	16	21	15
S1_L_T21713	38	33	27	22	26	22	20	26	40	18
S1_L_T21714	56	40	24	36	38	25	30	26	25	14
S1_L_T21715	166	143	93	89	115	65	66	112	131	52
S1_L_T21716	514	461	399	392	280	120	117	130	132	53
S1_L_T21717	7	9	9	8	12	3	7	6	9	8
S1_L_T21718	3	5	3	4	3	2	0	3	0	0
S1_L_T21719	96	98	92	88	73	59	59	48	59	30
S1_L_T2172	30	28	31	28	25	0	3	3	3	1
S1_L_T21720	0	0	0	0	0	0	0	0	0	0
S1_L_T21721	338	253	174	143	169	166	166	166	151	64
S1_L_T21722	1	4	0	0	0	3	0	0	1	0
S1_L_T21723	148	132	127	108	104	33	20	25	29	16
S1_L_T21724	28	23	11	14	11	15	9	5	10	8
S1_L_T21725	1	1	0	0	0	0	0	0	0	0
S1_L_T21726	34	15	15	17	7	6	8	2	5	3
S1_L_T21727	76	59	51	31	26	25	18	8	12	6
S1_L_T21728	20	25	10	4	6	1	5	2	1	1
S1_L_T21729	50	53	52	30	22	17	22	9	8	10
S1_L_T2173	12	10	12	8	19	11	12	6	30	7
S1_L_T21730	49	31	38	36	28	14	11	18	29	20
S1_L_T21731	11	10	2	5	7	4	1	2	2	2
S1_L_T21732	16	9	6	4	6	1	1	1	2	0
S1_L_T21733	38	14	22	24	40	8	4	44	61	19
S1_L_T21734	17	9	4	7	8	5	4	2	4	2
S1_L_T21735	65	24	44	52	63	12	13	63	95	17
S1_L_T21736	472	384	457	477	598	248	216	456	414	94
S1_L_T21737	49	48	31	41	35	39	48	46	64	16
S1_L_T21738	20	10	5	5	14	2	2	5	10	5
S1_L_T21739	83	52	32	23	21	9	14	9	4	9
S1_L_T2174	0	0	0	0	2	0	0	0	3	0
S1_L_T21740	0	0	0	0	0	0	0	0	0	0
S1_L_T21741	175	166	83	68	73	31	33	18	24	15
S1_L_T21742	87	37	49	54	53	38	31	39	15	5
S1_L_T21743	3	0	1	1	3	0	0	0	0	1
S1_L_T21744	19	7	11	10	18	9	9	13	12	5
S1_L_T21745	2	0	4	2	0	1	1	0	0	0
S1_L_T21746	42	33	27	20	12	7	3	9	7	7
S1_L_T21747	147	96	76	77	95	67	72	78	84	36
S1_L_T21748	37	56	23	30	31	14	22	8	13	5
S1_L_T21749	64	44	47	38	52	28	17	26	27	5
S1_L_T2175	49	30	21	13	16	16	9	5	4	3
S1_L_T21750	37	18	19	31	34	15	13	38	24	8
S1_L_T21751	15	7	9	9	16	3	5	4	9	2
S1_L_T21752	12	16	13	17	16	5	4	11	11	2
S1_L_T21753	19	18	17	6	16	18	16	15	25	12
S1_L_T21754	6	7	10	8	10	13	7	9	22	9
S1_L_T21755	169	122	110	99	98	109	125	124	90	29
S1_L_T21756	6	0	1	2	3	4	3	1	1	0
S1_L_T21757	9	10	4	8	4	3	3	2	1	1
S1_L_T21758	113	100	70	73	70	80	85	83	102	37
S1_L_T21759	20	16	16	20	17	7	4	6	7	5
S1_L_T2176	77	65	51	43	55	28	15	14	6	3
S1_L_T21760	42	31	44	33	39	39	33	54	72	32
S1_L_T21761	123	131	100	76	79	44	57	39	54	16
S1_L_T21762	12	7	3	3	4	1	1	2	0	0
S1_L_T21763	55	25	19	26	29	19	20	20	18	17
S1_L_T21764	69	69	29	25	23	15	13	5	4	7
S1_L_T21765	118	123	108	110	113	59	48	53	52	31
S1_L_T21766	10	1	2	2	3	3	1	5	0	0
S1_L_T21767	46	46	34	26	46	19	27	43	45	9
S1_L_T21768	1	0	0	0	0	0	0	0	0	0
S1_L_T21769	130	85	72	77	96	88	96	93	117	73
S1_L_T2177	70	42	27	25	26	24	14	16	21	13
S1_L_T21770	0	0	0	0	0	0	0	0	0	0
S1_L_T21771	2	0	0	0	0	0	1	0	0	0
S1_L_T21772	16	7	3	3	6	3	2	0	0	0
S1_L_T21773	24	21	8	12	7	5	4	3	2	0
S1_L_T21774	8	16	10	26	21	9	17	15	7	1
S1_L_T21775	15	8	11	17	17	6	3	7	10	2
S1_L_T21776	15	15	6	4	8	12	10	10	6	4
S1_L_T21777	30	27	24	24	23	14	13	3	5	4
S1_L_T21778	24	14	17	20	16	15	19	10	20	10
S1_L_T21779	4	8	3	5	3	0	2	2	3	0
S1_L_T2178	49	43	22	39	50	21	23	15	22	9
S1_L_T21780	33	35	34	37	30	12	12	46	50	18
S1_L_T21781	40	39	29	27	40	18	12	26	28	15
S1_L_T21782	12	12	11	9	9	6	5	4	1	1
S1_L_T21783	26	42	18	17	23	14	12	17	14	5
S1_L_T21784	5	4	0	4	2	2	0	1	1	0
S1_L_T21785	17	5	11	6	10	2	1	3	6	1
S1_L_T21786	7	7	9	10	7	4	6	4	5	1
S1_L_T21787	35	46	45	46	39	17	18	25	18	4
S1_L_T21788	14	10	14	6	9	6	8	5	4	1
S1_L_T21789	6	3	4	2	4	1	1	5	6	8
S1_L_T2179	10	11	10	4	3	4	6	6	7	2
S1_L_T21790	69	70	48	45	56	36	59	29	64	17
S1_L_T21791	46	34	22	25	28	17	24	7	18	6
S1_L_T21792	88	56	44	53	67	38	46	46	37	12
S1_L_T21793	3	2	2	2	0	1	1	0	2	0
S1_L_T21794	14	19	4	8	9	3	4	3	4	1
S1_L_T21795	33	11	25	17	28	1	4	16	17	6
S1_L_T21796	5	4	2	1	5	1	4	4	2	1
S1_L_T21797	65	56	42	42	38	15	10	15	9	5
S1_L_T21798	9	9	1	4	6	1	2	5	4	2
S1_L_T21799	14	8	10	4	8	4	4	5	5	2
S1_L_T218	32	29	18	19	8	5	4	7	3	4
S1_L_T2180	403	337	255	262	271	96	49	45	31	19
S1_L_T21800	74	64	31	30	26	14	5	8	7	9
S1_L_T21801	0	0	1	0	0	0	1	1	0	0
S1_L_T21802	87	88	31	27	33	22	16	10	13	11
S1_L_T21803	5	6	4	7	7	4	3	2	1	0
S1_L_T21804	0	1	4	0	1	0	0	0	0	0
S1_L_T21805	24	37	17	19	28	15	19	19	19	14
S1_L_T21806	66	40	45	46	38	8	6	8	10	2
S1_L_T21807	1	2	0	0	1	0	0	0	0	0
S1_L_T21808	1	1	0	1	2	0	0	0	0	0
S1_L_T21809	28	10	10	16	7	8	10	6	10	3
S1_L_T2181	409	269	233	238	192	136	150	142	148	59
S1_L_T21810	44	41	55	43	72	38	39	71	87	20
S1_L_T21811	208	104	115	142	186	70	110	213	247	128
S1_L_T21812	29	18	12	16	21	11	10	8	14	3
S1_L_T21813	3	5	2	3	2	3	3	2	4	0
S1_L_T21814	5	6	6	3	1	0	1	1	1	0
S1_L_T21815	116	105	93	101	105	70	68	88	95	24
S1_L_T21816	0	0	0	0	0	0	0	0	0	0
S1_L_T21817	9	5	3	2	4	3	1	2	0	6
S1_L_T21818	17	14	19	15	9	3	5	7	15	2
S1_L_T21819	40	33	44	42	52	22	12	9	16	8
S1_L_T2182	31	20	14	18	22	11	17	11	15	8
S1_L_T21820	153	145	128	106	86	31	28	25	20	9
S1_L_T21821	7	5	8	7	3	5	5	6	5	3
S1_L_T21822	1	0	0	0	0	0	0	1	0	0
S1_L_T21823	15	20	16	9	14	9	2	4	2	0
S1_L_T21824	0	0	1	0	0	0	1	0	0	0
S1_L_T21825	4	2	5	5	11	0	1	2	3	0
S1_L_T21826	5	5	1	1	4	2	3	3	1	1
S1_L_T21827	51	41	28	34	28	18	14	14	15	14
S1_L_T21828	9	18	11	8	5	8	7	7	5	0
S1_L_T21829	258	186	190	194	220	80	63	88	82	35
S1_L_T2183	94	53	60	49	58	45	49	48	32	7
S1_L_T21830	50	59	36	24	25	14	13	6	9	6
S1_L_T21831	128	94	40	40	31	22	16	18	13	9
S1_L_T21832	10	4	1	3	3	0	0	1	1	0
S1_L_T21833	22	13	19	8	2	6	5	5	4	3
S1_L_T21834	0	0	0	0	0	0	0	0	0	0
S1_L_T21835	10	5	8	7	13	0	0	2	3	0
S1_L_T21836	52	44	22	19	14	6	1	2	0	2
S1_L_T21837	65	45	49	51	52	43	55	69	74	45
S1_L_T21838	12	9	8	7	21	11	11	18	23	21
S1_L_T21839	6	4	6	4	4	0	3	8	7	2
S1_L_T2184	191	132	97	92	120	90	90	84	103	46
S1_L_T21840	0	1	0	0	0	0	0	0	0	0
S1_L_T21841	521	439	315	336	369	323	427	378	435	302
S1_L_T21842	104	63	82	78	73	41	58	88	139	76
S1_L_T21843	15	11	17	9	10	9	5	1	2	0
S1_L_T21844	39	39	15	19	7	3	7	4	3	2
S1_L_T21845	29	27	14	15	20	9	9	18	10	9
S1_L_T21846	69	52	22	21	17	7	13	8	9	9
S1_L_T21847	17	7	16	22	26	6	8	34	29	7
S1_L_T21848	47	33	24	38	35	12	17	12	16	6
S1_L_T21849	56	51	30	29	25	22	5	5	8	1
S1_L_T2185	576	519	544	526	618	341	421	718	827	275
S1_L_T21850	42	37	20	13	12	6	4	4	6	5
S1_L_T21851	1	0	1	2	1	0	0	0	0	0
S1_L_T21852	33	13	18	25	18	3	8	30	40	21
S1_L_T21853	105	83	34	41	35	22	13	12	9	12
S1_L_T21854	40	32	30	22	14	14	9	7	8	2
S1_L_T21855	34	23	25	34	40	9	6	40	55	15
S1_L_T21856	1	0	0	0	0	0	0	0	0	0
S1_L_T21857	49	44	31	26	27	19	9	25	13	3
S1_L_T21858	3	3	3	9	8	6	4	9	6	3
S1_L_T21859	33	29	21	24	28	19	18	31	38	23
S1_L_T2186	7	10	7	7	6	4	4	5	4	1
S1_L_T21860	13	11	16	5	20	4	10	17	21	7
S1_L_T21861	37	26	20	16	8	15	7	8	8	4
S1_L_T21862	58	34	20	22	28	11	13	13	15	2
S1_L_T21863	36	20	36	36	58	5	2	29	55	16
S1_L_T21864	29	42	31	24	30	32	27	14	11	5
S1_L_T21865	1	1	2	1	2	0	0	2	0	0
S1_L_T21866	4	2	1	1	0	0	3	1	0	0
S1_L_T21867	58	37	28	44	51	19	21	47	53	19
S1_L_T21868	58	60	60	76	67	50	61	80	108	37
S1_L_T21869	155	152	108	89	79	66	84	54	50	26
S1_L_T2187	27	22	20	23	13	10	6	13	11	9
S1_L_T21870	1	0	1	0	1	0	0	0	0	0
S1_L_T21871	40	45	34	32	40	14	10	20	21	6
S1_L_T21872	12	10	6	6	6	1	0	0	3	2
S1_L_T21873	102	122	74	70	46	47	53	34	32	20
S1_L_T21874	117	70	37	52	32	18	29	18	20	8
S1_L_T21875	4	9	4	4	7	6	4	6	5	2
S1_L_T21876	12	11	11	12	21	1	1	2	5	0
S1_L_T21877	77	74	68	62	66	61	66	70	84	34
S1_L_T21878	3	6	4	3	2	2	3	3	2	3
S1_L_T21879	4	1	2	4	1	2	1	0	0	0
S1_L_T2188	110	122	74	74	58	49	34	30	25	18
S1_L_T21880	37	46	15	20	6	9	7	7	4	0
S1_L_T21881	410	280	118	126	116	74	57	40	44	29
S1_L_T21882	15	7	20	16	25	11	15	21	26	17
S1_L_T21883	370	237	167	193	208	91	79	175	160	45
S1_L_T21884	85	71	42	40	42	11	13	12	14	6
S1_L_T21885	15	6	4	1	5	2	4	5	3	2
S1_L_T21886	40	30	18	17	17	27	17	14	10	12
S1_L_T21887	67	80	34	41	20	14	6	12	6	9
S1_L_T21888	205	159	155	120	165	113	141	139	163	98
S1_L_T21889	31	11	8	10	10	7	3	1	6	1
S1_L_T2189	1	0	1	0	1	1	1	0	2	0
S1_L_T21890	1	1	3	4	6	3	2	5	5	1
S1_L_T21891	702	652	506	492	451	351	370	329	431	228
S1_L_T21892	76	84	79	63	76	40	56	38	52	21
S1_L_T21893	19	18	9	8	6	8	9	3	5	0
S1_L_T21894	45	34	26	24	37	17	15	12	9	14
S1_L_T21895	75	46	48	38	41	28	23	20	33	7
S1_L_T21896	199	114	86	56	66	57	53	32	48	20
S1_L_T21897	83	73	56	58	45	36	52	46	45	14
S1_L_T21898	21	8	16	8	14	3	0	22	37	12
S1_L_T21899	387	275	232	210	204	98	124	141	198	74
S1_L_T219	8	5	7	9	11	4	2	14	17	5
S1_L_T2190	46	22	40	36	42	7	6	16	12	2
S1_L_T21900	14	10	2	5	1	2	2	0	1	3
S1_L_T21901	39	33	24	33	29	19	15	26	31	13
S1_L_T21902	0	0	1	0	0	0	0	0	1	0
S1_L_T21903	0	2	0	0	2	0	1	1	0	0
S1_L_T21904	63	47	44	52	41	26	37	37	43	13
S1_L_T21905	193	135	82	58	73	31	29	22	27	15
S1_L_T21906	163	101	138	106	170	17	21	129	297	52
S1_L_T21907	95	73	60	73	72	47	39	74	113	47
S1_L_T21908	1	0	0	0	0	0	0	0	1	0
S1_L_T21909	0	1	0	0	0	0	0	1	1	0
S1_L_T2191	25	18	15	16	16	7	9	1	3	3
S1_L_T21910	275	251	191	186	199	223	214	210	264	111
S1_L_T21911	53	42	31	18	25	10	5	10	5	3
S1_L_T21912	48	48	49	40	54	40	34	46	45	14
S1_L_T21913	35	25	12	11	11	6	4	3	4	0
S1_L_T21914	275	157	163	146	177	106	104	103	90	21
S1_L_T21915	53	30	40	39	49	22	22	62	137	105
S1_L_T21916	3	0	2	0	1	0	1	0	0	1
S1_L_T21917	237	205	155	175	190	155	165	201	241	170
S1_L_T21918	30	39	16	27	38	10	21	14	13	5
S1_L_T21919	25	12	13	15	9	5	6	3	6	5
S1_L_T2192	54	63	28	48	25	23	24	23	28	9
S1_L_T21920	260	262	149	149	149	133	130	104	77	31
S1_L_T21921	106	86	39	57	44	28	21	26	29	12
S1_L_T21922	1	2	0	0	0	0	0	1	1	1
S1_L_T21923	4	7	8	3	2	1	5	2	2	0
S1_L_T21924	38	40	21	22	22	16	10	7	10	8
S1_L_T21925	0	0	0	0	0	0	0	0	0	0
S1_L_T21926	41	33	42	50	42	15	28	67	84	41
S1_L_T21927	34	18	13	13	13	11	8	8	6	2
S1_L_T21928	68	54	43	41	40	28	24	43	38	12
S1_L_T21929	14	14	9	5	5	4	1	2	2	1
S1_L_T2193	1	1	6	4	3	1	0	2	1	0
S1_L_T21930	2	1	1	0	0	0	0	1	0	0
S1_L_T21931	11	20	10	10	15	7	12	5	4	3
S1_L_T21932	31	30	21	22	14	12	18	10	12	2
S1_L_T21933	45	39	24	22	19	22	17	11	7	6
S1_L_T21934	9	17	10	8	7	2	3	2	5	0
S1_L_T21935	33	26	31	37	38	8	6	49	78	50
S1_L_T21936	0	0	0	0	0	0	0	0	0	0
S1_L_T21937	166	150	127	123	153	118	141	148	153	74
S1_L_T21938	13	16	14	8	16	2	0	7	4	1
S1_L_T21939	33	29	16	15	21	10	10	8	13	4
S1_L_T2194	26	15	29	18	24	10	17	28	32	11
S1_L_T21940	110	81	90	77	57	23	16	19	19	11
S1_L_T21941	177	139	87	91	87	81	68	39	55	21
S1_L_T21942	48	38	35	31	41	24	22	51	66	15
S1_L_T21943	7	10	2	2	5	6	0	0	0	0
S1_L_T21944	120	89	84	81	102	36	62	53	68	10
S1_L_T21945	93	53	40	46	51	17	16	11	10	6
S1_L_T21946	89	125	76	87	78	49	54	37	44	10
S1_L_T21947	44	26	22	19	25	17	20	14	24	14
S1_L_T21948	14	20	13	12	12	6	2	2	5	1
S1_L_T21949	15	10	5	3	2	0	1	2	2	1
S1_L_T2195	120	119	110	99	90	79	94	85	105	49
S1_L_T21950	6	6	4	4	7	4	4	6	5	2
S1_L_T21951	282	219	175	210	221	127	144	146	155	43
S1_L_T21952	20	17	12	5	8	2	7	7	6	0
S1_L_T21953	23	20	29	20	16	7	11	11	11	2
S1_L_T21954	6	2	6	6	11	2	4	1	3	0
S1_L_T21955	211	178	138	112	125	78	95	88	120	59
S1_L_T21956	47	25	46	39	57	14	16	55	54	19
S1_L_T21957	42	38	31	28	25	13	8	5	5	7
S1_L_T21958	2	6	3	3	4	4	0	0	1	0
S1_L_T21959	13	11	11	14	15	5	7	9	11	1
S1_L_T2196	23	24	23	23	15	11	5	12	13	4
S1_L_T21960	47	40	28	25	41	16	13	26	20	8
S1_L_T21961	41	34	20	19	9	7	12	6	4	3
S1_L_T21962	3	0	1	3	7	2	0	0	6	1
S1_L_T21963	1	0	0	0	0	1	0	0	0	0
S1_L_T21964	264	142	143	134	159	77	78	114	148	29
S1_L_T21965	79	57	37	37	32	15	15	12	5	3
S1_L_T21966	33	13	13	18	19	1	3	3	5	2
S1_L_T21967	94	75	76	81	90	75	88	121	120	90
S1_L_T21968	56	24	10	14	15	10	9	2	6	5
S1_L_T21969	29	26	24	15	21	8	9	19	21	15
S1_L_T2197	87	48	40	48	45	7	12	8	14	3
S1_L_T21970	127	108	71	69	81	42	36	25	15	10
S1_L_T21971	34	19	14	10	9	15	8	6	6	6
S1_L_T21972	84	54	26	26	23	7	7	4	3	3
S1_L_T21973	12	20	18	8	10	8	5	2	5	4
S1_L_T21974	111	74	70	73	59	41	45	45	32	10
S1_L_T21975	26	15	12	17	15	8	5	16	4	9
S1_L_T21976	49	30	33	35	26	15	19	34	42	14
S1_L_T21977	17	13	4	6	5	6	4	4	4	0
S1_L_T21978	11	3	5	3	10	1	1	8	11	7
S1_L_T21979	7	1	1	2	1	1	1	1	2	1
S1_L_T2198	419	246	137	136	152	89	107	130	137	78
S1_L_T21980	1	2	5	1	2	0	0	0	0	0
S1_L_T21981	1	2	0	2	2	0	2	1	1	1
S1_L_T21982	2	0	1	1	1	0	0	3	4	0
S1_L_T21983	68	51	53	43	52	21	19	15	5	4
S1_L_T21984	102	69	34	41	24	24	16	9	5	5
S1_L_T21985	24	25	18	14	11	8	3	8	7	3
S1_L_T21986	13	21	14	21	12	12	9	5	15	4
S1_L_T21987	0	0	0	0	0	0	0	0	0	0
S1_L_T21988	59	51	33	34	40	36	42	44	47	23
S1_L_T21989	9	14	8	3	6	4	3	1	3	1
S1_L_T2199	90	51	37	49	63	38	30	77	80	28
S1_L_T21990	4	1	0	0	2	1	0	0	1	0
S1_L_T21991	0	0	1	0	1	0	0	1	2	1
S1_L_T21992	5	3	2	1	1	1	0	1	2	0
S1_L_T21993	0	0	1	1	1	0	0	0	1	0
S1_L_T21994	0	0	1	0	1	0	0	0	0	0
S1_L_T21995	8	20	11	11	9	6	1	2	2	1
S1_L_T21996	75	61	55	58	59	22	23	12	12	6
S1_L_T21997	39	35	32	42	28	17	26	13	5	2
S1_L_T21998	10	5	6	2	4	1	1	2	1	1
S1_L_T21999	177	132	69	55	48	54	61	42	44	26
S1_L_T22	0	1	1	0	0	0	0	0	0	0
S1_L_T220	105	62	52	81	95	20	30	62	80	29
S1_L_T2200	13	6	8	6	14	6	9	11	9	5
S1_L_T22000	119	72	58	43	29	19	18	13	13	5
S1_L_T22001	29	19	26	19	7	7	7	5	12	2
S1_L_T22002	3	10	9	10	11	6	6	8	11	4
S1_L_T22003	3	2	3	2	1	0	2	0	4	0
S1_L_T22004	0	0	0	0	0	0	0	0	0	0
S1_L_T22005	12	9	6	2	5	1	3	0	0	0
S1_L_T22006	39	69	48	44	51	50	77	44	49	23
S1_L_T22007	111	106	58	81	82	64	74	36	50	35
S1_L_T22008	43	17	14	14	14	13	6	9	14	4
S1_L_T22009	9	7	3	10	10	6	8	7	13	2
S1_L_T2201	42	20	26	20	34	5	12	37	35	15
S1_L_T22010	5	4	4	6	1	3	0	3	0	1
S1_L_T22011	27	19	16	16	13	15	12	9	10	7
S1_L_T22012	55	48	50	39	52	26	36	40	61	25
S1_L_T22013	42	31	20	15	13	9	2	2	4	2
S1_L_T22014	6	8	8	3	1	0	1	2	2	2
S1_L_T22015	87	68	45	45	49	23	35	26	30	13
S1_L_T22016	16	15	11	15	11	8	4	9	11	3
S1_L_T22017	12	15	12	6	8	2	1	3	0	0
S1_L_T22018	8	10	7	3	3	2	0	2	2	1
S1_L_T22019	7	16	8	9	8	2	4	2	3	2
S1_L_T2202	21	10	5	4	1	4	2	1	3	1
S1_L_T22020	286	185	91	92	76	44	44	40	48	13
S1_L_T22021	68	51	52	46	38	27	32	19	13	6
S1_L_T22022	11	16	3	3	5	0	3	3	4	1
